Navn;Stasjon;Tid(norsk normaltid);Nedbør (10 min);Lufttemperatur
Trondheim - Granåsen;SN68090;06.03.2025 04:00;0;8,7
Trondheim - Granåsen;SN68090;06.03.2025 04:10;0;8,8
Trondheim - Granåsen;SN68090;06.03.2025 04:20;0;8,9
Trondheim - Granåsen;SN68090;06.03.2025 04:30;0;9,1
Trondheim - Granåsen;SN68090;06.03.2025 04:40;0;9,1
Trondheim - Granåsen;SN68090;06.03.2025 04:50;0;9
Trondheim - Granåsen;SN68090;06.03.2025 05:00;0;9
Trondheim - Granåsen;SN68090;06.03.2025 05:10;0;8,9
Trondheim - Granåsen;SN68090;06.03.2025 05:20;0;8,6
Trondheim - Granåsen;SN68090;06.03.2025 05:30;0;8,6
Trondheim - Granåsen;SN68090;06.03.2025 05:40;0;8,5
Trondheim - Granåsen;SN68090;06.03.2025 05:50;0;8,4
Trondheim - Granåsen;SN68090;06.03.2025 06:00;0;8,2
Trondheim - Granåsen;SN68090;06.03.2025 06:10;0;8,2
Trondheim - Granåsen;SN68090;06.03.2025 06:20;0;8,1
Trondheim - Granåsen;SN68090;06.03.2025 06:30;0;7,9
Trondheim - Granåsen;SN68090;06.03.2025 06:40;0;7,7
Trondheim - Granåsen;SN68090;06.03.2025 06:50;0;7,5
Trondheim - Granåsen;SN68090;06.03.2025 07:00;0;7,6
Trondheim - Granåsen;SN68090;06.03.2025 07:10;0;7,5
Trondheim - Granåsen;SN68090;06.03.2025 07:20;0;7,5
Trondheim - Granåsen;SN68090;06.03.2025 07:30;0;7,6
Trondheim - Granåsen;SN68090;06.03.2025 07:40;0;7,6
Trondheim - Granåsen;SN68090;06.03.2025 07:50;0;7,5
Trondheim - Granåsen;SN68090;06.03.2025 08:00;0;7,5
Trondheim - Granåsen;SN68090;06.03.2025 08:10;0;7,5
Trondheim - Granåsen;SN68090;06.03.2025 08:20;0;7,5
Trondheim - Granåsen;SN68090;06.03.2025 08:30;0;7,5
Trondheim - Granåsen;SN68090;06.03.2025 08:40;0;7,6
Trondheim - Granåsen;SN68090;06.03.2025 08:50;0;7,6
Trondheim - Granåsen;SN68090;06.03.2025 09:00;0;7,6
Trondheim - Granåsen;SN68090;06.03.2025 09:10;0;7,5
Trondheim - Granåsen;SN68090;06.03.2025 09:20;0;7,5
Trondheim - Granåsen;SN68090;06.03.2025 09:30;0;7,5
Trondheim - Granåsen;SN68090;06.03.2025 09:40;0;7,5
Trondheim - Granåsen;SN68090;06.03.2025 09:50;0;7,6
Trondheim - Granåsen;SN68090;06.03.2025 10:00;0;7,6
Trondheim - Granåsen;SN68090;06.03.2025 10:10;0;7,6
Trondheim - Granåsen;SN68090;06.03.2025 10:20;0;7,5
Trondheim - Granåsen;SN68090;06.03.2025 10:30;0;7,3
Trondheim - Granåsen;SN68090;06.03.2025 10:40;0;7,1
Trondheim - Granåsen;SN68090;06.03.2025 10:50;0;7
Trondheim - Granåsen;SN68090;06.03.2025 11:00;0;7,1
Trondheim - Granåsen;SN68090;06.03.2025 11:10;0;7,1
Trondheim - Granåsen;SN68090;06.03.2025 11:20;0;7,1
Trondheim - Granåsen;SN68090;06.03.2025 11:30;0;7,1
Trondheim - Granåsen;SN68090;06.03.2025 11:40;0;7,1
Trondheim - Granåsen;SN68090;06.03.2025 11:50;0;7,1
Trondheim - Granåsen;SN68090;06.03.2025 12:00;0;7
Trondheim - Granåsen;SN68090;06.03.2025 12:10;0;6,9
Trondheim - Granåsen;SN68090;06.03.2025 12:20;0;6,8
Trondheim - Granåsen;SN68090;06.03.2025 12:30;0;6,6
Trondheim - Granåsen;SN68090;06.03.2025 12:40;0;6,3
Trondheim - Granåsen;SN68090;06.03.2025 12:50;0;6,1
Trondheim - Granåsen;SN68090;06.03.2025 13:00;0;6,2
Trondheim - Granåsen;SN68090;06.03.2025 13:10;0;6
Trondheim - Granåsen;SN68090;06.03.2025 13:20;0;5,7
